UID,Country,Programs_Applied_To,Count_of_Programs,Status,Applicant
26000003,Американское Самоа /,Языкознание и литературоведение (на французском языке) / Linguistics and Literary Studies (in French); Языкознание и литературоведение (на итальянском языке) / Linguistics and Literary Studies (in Italian),2,Accepted with budget,Master
26000004,Греция /,Нефтегазовое дело / Petroleum Engineering (in Russian); Менеджмент (на английском языке) / Management (in English); Физическая культура / Physical Education (in Russian),3,Accepted with budget,Bachelor
26000005,Казахстан /,Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian); Международные отношения / International Relations (in Russian); Психология / Psychology (in Russian),3,Accepted with budget,Bachelor
26000006,Казахстан /,Науки о Земле / Earth Sciences (in Russian),1,Accepted with budget,Bachelor
26000007,КИТАЙ /,Философия / Philosophy (in Russian),1,Accepted with budget,PhD
26000008,Казахстан /,Живопись / Painting (in Russian); Графика / Graphics (in Russian),2,Accepted with budget,Specialist
26000008,Казахстан /,Графический дизайн / Graphic Design (in Russian),1,Accepted with budget,Bachelor
26000009,Индия /,Стоматология (на английском языке) / Dental Medicine (in English),1,Accepted with budget,Specialist
26000009,Индия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Bachelor
26000010,Иордания /,Медицина / Medicine (in Russian),1,Accepted with budget,PhD
26000011,Казахстан /,Дизайн среды / Environmental Design (in Russian); Реставрация / Restoration of Fine and Applied Art Objects (in Russian); Английский язык / English,3,Accepted with budget,Bachelor
26000012,Индия /,Менеджмент (на английском языке) / Management (in English); Медицина / Medicine (in Russian),2,Accepted with budget,PhD
26000013,Пакистан /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Master
26000014,Казахстан /,Биология / Biology (in Russian); Химия / Chemistry (in Russian),2,Accepted with budget,Master
26000015,Нигерия /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000016,Казахстан /,Психология / Psychology (in Russian); Менеджмент и государственное и муниципальное управление / Management and Public Administration (in Russian),2,Accepted with budget,Bachelor
26000018,Нигерия /,Экономика / Economics (in Russian); Менеджмент (на английском языке) / Management (in English); Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian),3,Accepted with budget,Bachelor
26000019,Казахстан /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian),1,Accepted with budget,Bachelor
26000020,Пакистан /,Юриспруденция (на английском языке) / Law (in English); Международные отношения (на английском языке) / International Relations (in English),2,Accepted with budget,Master
26000021,Нигерия /,Менеджмент (на английском языке) / Management (in English),1,Accepted with budget,Bachelor
26000022,Египет /,Менеджмент (на английском языке) / Management (in English); Экономика (на английском языке) / Economics (in English); Международные отношения (на английском языке) / International Relations (in English),3,Accepted with budget,Master
26000023,Азербайджан /,Психология / Psychology (in Russian),1,Accepted with budget,Bachelor
26000024,Кения /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000025,Казахстан /,Журналистика и массовые коммуникации / Journalism and Mass Communication (in Russian); Психология / Psychology (in Russian); Международные отношения / International Relations (in Russian),3,Accepted with budget,Bachelor
26000026,Казахстан /,Химия / Chemistry (in Russian); Биология / Biology (in Russian); Науки о Земле / Earth Sciences (in Russian),3,Accepted with budget,Bachelor
26000027,Азербайджан /,Юриспруденция / Law (in Russian),1,Accepted with budget,Bachelor
26000028,Перу /,Медицина / Medicine (in Russian),1,Accepted with budget,Specialist
26000030,Нигерия /,Медицина (на английском языке) / Medicine (in English),1,Accepted with budget,Specialist
26000030,Нигерия /,Менеджмент (на английском языке) / Management (in English); Международные отношения / International Relations (in Russian),2,Accepted with budget,Bachelor
